Crash_Year,Crash_PoliceRegion,Casualty_Severity,Casualty_AgeGroup,Casualty_Gender,Casualty_Road_User_Type,Casualty_Restraint_Helmet_Use,Casualty_Count
2002,Central,Fatality,60 to 74,Female,Vehicle Occupant,Restrained,2
2002,Central,Fatality,75 and over,Female,Vehicle Occupant,Restrained,3
2002,Central,Fatality,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Fatality,0 to 16,Male,Bicyclist,Helmet Worn,1
2002,Central,Fatality,0 to 16,Male,Motorcyclist,Helmet Not Worn,1
2002,Central,Fatality,0 to 16,Male,Vehicle Occupant,Restrained,2
2002,Central,Fatality,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Fatality,0 to 16,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Fatality,17 to 24,Male,Vehicle Occupant,Restrained,11
2002,Central,Fatality,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,4
2002,Central,Fatality,17 to 24,Male,Vehicle Occupant,Unrestrained,2
2002,Central,Fatality,25 to 29,Male,Vehicle Occupant,Not applicable,1
2002,Central,Fatality,25 to 29,Male,Vehicle Occupant,Restrained,2
2002,Central,Fatality,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Fatality,25 to 29,Male,Vehicle Occupant,Unrestrained,3
2002,Central,Fatality,30 to 39,Male,Motorcyclist,Helmet Worn,6
2002,Central,Fatality,30 to 39,Male,Vehicle Occupant,Restrained,1
2002,Central,Fatality,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Fatality,30 to 39,Male,Vehicle Occupant,Unrestrained,2
2002,Central,Fatality,40 to 49,Male,Motorcyclist,Helmet Worn,1
2002,Central,Fatality,40 to 49,Male,Vehicle Occupant,Restrained,4
2002,Central,Fatality,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Fatality,40 to 49,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Fatality,50 to 59,Male,Motorcyclist,Helmet Worn,3
2002,Central,Fatality,50 to 59,Male,Vehicle Occupant,Not applicable,1
2002,Central,Fatality,50 to 59,Male,Vehicle Occupant,Restrained,1
2002,Central,Fatality,50 to 59,Male,Vehicle Occupant,Unrestrained,3
2002,Central,Fatality,60 to 74,Male,Bicyclist,Helmet Worn,1
2002,Central,Fatality,60 to 74,Male,Motorcyclist,Helmet Worn,1
2002,Central,Fatality,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Fatality,75 and over,Male,Vehicle Occupant,Restrained,5
2002,Central,Hospitalised,0 to 16,Female,Bicyclist,Helmet Worn,2
2002,Central,Hospitalised,0 to 16,Female,Vehicle Occupant,Restrained,46
2002,Central,Hospitalised,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,6
2002,Central,Hospitalised,0 to 16,Female,Vehicle Occupant,Unrestrained,3
2002,Central,Hospitalised,17 to 24,Female,Bicyclist,Helmet Worn,2
2002,Central,Hospitalised,17 to 24,Female,Motorcyclist,Helmet Worn,3
2002,Central,Hospitalised,17 to 24,Female,Vehicle Occupant,Restrained,100
2002,Central,Hospitalised,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,13
2002,Central,Hospitalised,17 to 24,Female,Vehicle Occupant,Unrestrained,7
2002,Central,Hospitalised,25 to 29,Female,Motorcyclist,Helmet Worn,2
2002,Central,Hospitalised,25 to 29,Female,Vehicle Occupant,Restrained,37
2002,Central,Hospitalised,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Hospitalised,30 to 39,Female,Bicyclist,Helmet Worn,2
2002,Central,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Worn,8
2002,Central,Hospitalised,30 to 39,Female,Vehicle Occupant,Restrained,67
2002,Central,Hospitalised,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,9
2002,Central,Hospitalised,30 to 39,Female,Vehicle Occupant,Unrestrained,7
2002,Central,Hospitalised,40 to 49,Female,Bicyclist,Helmet Worn,1
2002,Central,Hospitalised,40 to 49,Female,Motorcyclist,Helmet Worn,5
2002,Central,Hospitalised,40 to 49,Female,Vehicle Occupant,Restrained,42
2002,Central,Hospitalised,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,7
2002,Central,Hospitalised,40 to 49,Female,Vehicle Occupant,Unrestrained,3
2002,Central,Hospitalised,50 to 59,Female,Bicyclist,Helmet Worn,1
2002,Central,Hospitalised,50 to 59,Female,Motorcyclist,Helmet Worn,1
2002,Central,Hospitalised,50 to 59,Female,Vehicle Occupant,Restrained,37
2002,Central,Hospitalised,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Hospitalised,50 to 59,Female,Vehicle Occupant,Unrestrained,3
2002,Central,Hospitalised,60 to 74,Female,Motorcyclist,Helmet Worn,1
2002,Central,Hospitalised,60 to 74,Female,Vehicle Occupant,Restrained,43
2002,Central,Hospitalised,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Hospitalised,60 to 74,Female,Vehicle Occupant,Unrestrained,2
2002,Central,Hospitalised,75 and over,Female,Vehicle Occupant,Restrained,25
2002,Central,Hospitalised,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Hospitalised,75 and over,Female,Vehicle Occupant,Unrestrained,1
2002,Central,Hospitalised,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Hospitalised,Unknown,Female,Vehicle Occupant,Unrestrained,1
2002,Central,Hospitalised,0 to 16,Male,Bicyclist,Helmet Not Worn,6
2002,Central,Hospitalised,0 to 16,Male,Bicyclist,Helmet Worn,13
2002,Central,Hospitalised,0 to 16,Male,Motorcyclist,Helmet Not Worn,3
2002,Central,Hospitalised,0 to 16,Male,Motorcyclist,Helmet Worn,4
2002,Central,Hospitalised,0 to 16,Male,Vehicle Occupant,Restrained,32
2002,Central,Hospitalised,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Hospitalised,0 to 16,Male,Vehicle Occupant,Unrestrained,6
2002,Central,Hospitalised,17 to 24,Male,Bicyclist,Helmet Not Worn,3
2002,Central,Hospitalised,17 to 24,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Hospitalised,17 to 24,Male,Bicyclist,Helmet Worn,5
2002,Central,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Not Worn,2
2002,Central,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Use Not determined,1
2002,Central,Hospitalised,17 to 24,Male,Motorcyclist,Helmet Worn,31
2002,Central,Hospitalised,17 to 24,Male,Vehicle Occupant,Restrained,98
2002,Central,Hospitalised,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,31
2002,Central,Hospitalised,17 to 24,Male,Vehicle Occupant,Unrestrained,18
2002,Central,Hospitalised,25 to 29,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Not Worn,1
2002,Central,Hospitalised,25 to 29,Male,Motorcyclist,Helmet Worn,16
2002,Central,Hospitalised,25 to 29,Male,Vehicle Occupant,Restrained,35
2002,Central,Hospitalised,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Hospitalised,25 to 29,Male,Vehicle Occupant,Unrestrained,9
2002,Central,Hospitalised,30 to 39,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Hospitalised,30 to 39,Male,Bicyclist,Helmet Worn,6
2002,Central,Hospitalised,30 to 39,Male,Motorcyclist,Helmet Worn,36
2002,Central,Hospitalised,30 to 39,Male,Vehicle Occupant,Not applicable,1
2002,Central,Hospitalised,30 to 39,Male,Vehicle Occupant,Restrained,50
2002,Central,Hospitalised,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,25
2002,Central,Hospitalised,30 to 39,Male,Vehicle Occupant,Unrestrained,12
2002,Central,Hospitalised,40 to 49,Male,Bicyclist,Helmet Worn,9
2002,Central,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Use Not determined,2
2002,Central,Hospitalised,40 to 49,Male,Motorcyclist,Helmet Worn,25
2002,Central,Hospitalised,40 to 49,Male,Vehicle Occupant,Restrained,45
2002,Central,Hospitalised,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,12
2002,Central,Hospitalised,40 to 49,Male,Vehicle Occupant,Unrestrained,4
2002,Central,Hospitalised,50 to 59,Male,Bicyclist,Helmet Not Worn,1
2002,Central,Hospitalised,50 to 59,Male,Bicyclist,Helmet Worn,6
2002,Central,Hospitalised,50 to 59,Male,Motorcyclist,Helmet Worn,10
2002,Central,Hospitalised,50 to 59,Male,Vehicle Occupant,Restrained,42
2002,Central,Hospitalised,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,6
2002,Central,Hospitalised,50 to 59,Male,Vehicle Occupant,Unrestrained,3
2002,Central,Hospitalised,60 to 74,Male,Bicyclist,Helmet Worn,2
2002,Central,Hospitalised,60 to 74,Male,Motorcyclist,Helmet Worn,5
2002,Central,Hospitalised,60 to 74,Male,Vehicle Occupant,Restrained,44
2002,Central,Hospitalised,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Hospitalised,60 to 74,Male,Vehicle Occupant,Unrestrained,2
2002,Central,Hospitalised,75 and over,Male,Bicyclist,Helmet Worn,2
2002,Central,Hospitalised,75 and over,Male,Vehicle Occupant,Not applicable,1
2002,Central,Hospitalised,75 and over,Male,Vehicle Occupant,Restrained,27
2002,Central,Hospitalised,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Hospitalised,75 and over,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Medically treated,0 to 16,Female,Bicyclist,Helmet Use Not determined,1
2002,Central,Medically treated,0 to 16,Female,Bicyclist,Helmet Worn,5
2002,Central,Medically treated,0 to 16,Female,Motorcyclist,Helmet Not Worn,1
2002,Central,Medically treated,0 to 16,Female,Motorcyclist,Helmet Worn,1
2002,Central,Medically treated,0 to 16,Female,Vehicle Occupant,Restrained,54
2002,Central,Medically treated,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,4
2002,Central,Medically treated,0 to 16,Female,Vehicle Occupant,Unrestrained,7
2002,Central,Medically treated,17 to 24,Female,Bicyclist,Helmet Worn,3
2002,Central,Medically treated,17 to 24,Female,Motorcyclist,Helmet Worn,3
2002,Central,Medically treated,17 to 24,Female,Vehicle Occupant,Not applicable,1
2002,Central,Medically treated,17 to 24,Female,Vehicle Occupant,Restrained,176
2002,Central,Medically treated,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,14
2002,Central,Medically treated,17 to 24,Female,Vehicle Occupant,Unrestrained,8
2002,Central,Medically treated,25 to 29,Female,Bicyclist,Helmet Use Not determined,1
2002,Central,Medically treated,25 to 29,Female,Vehicle Occupant,Restrained,55
2002,Central,Medically treated,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,8
2002,Central,Medically treated,25 to 29,Female,Vehicle Occupant,Unrestrained,3
2002,Central,Medically treated,30 to 39,Female,Bicyclist,Helmet Worn,3
2002,Central,Medically treated,30 to 39,Female,Motorcyclist,Helmet Worn,2
2002,Central,Medically treated,30 to 39,Female,Vehicle Occupant,Restrained,93
2002,Central,Medically treated,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,14
2002,Central,Medically treated,30 to 39,Female,Vehicle Occupant,Unrestrained,5
2002,Central,Medically treated,40 to 49,Female,Bicyclist,Helmet Worn,3
2002,Central,Medically treated,40 to 49,Female,Motorcyclist,Helmet Worn,1
2002,Central,Medically treated,40 to 49,Female,Vehicle Occupant,Not applicable,1
2002,Central,Medically treated,40 to 49,Female,Vehicle Occupant,Restrained,89
2002,Central,Medically treated,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,10
2002,Central,Medically treated,40 to 49,Female,Vehicle Occupant,Unrestrained,2
2002,Central,Medically treated,50 to 59,Female,Motorcyclist,Helmet Worn,2
2002,Central,Medically treated,50 to 59,Female,Vehicle Occupant,Restrained,55
2002,Central,Medically treated,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,6
2002,Central,Medically treated,60 to 74,Female,Bicyclist,Helmet Worn,1
2002,Central,Medically treated,60 to 74,Female,Motorcyclist,Helmet Worn,1
2002,Central,Medically treated,60 to 74,Female,Vehicle Occupant,Restrained,60
2002,Central,Medically treated,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Medically treated,75 and over,Female,Vehicle Occupant,Not applicable,1
2002,Central,Medically treated,75 and over,Female,Vehicle Occupant,Restrained,24
2002,Central,Medically treated,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Medically treated,Unknown,Female,Vehicle Occupant,Restrained,1
2002,Central,Medically treated,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Medically treated,0 to 16,Male,Bicyclist,Helmet Not Worn,5
2002,Central,Medically treated,0 to 16,Male,Bicyclist,Helmet Use Not determined,2
2002,Central,Medically treated,0 to 16,Male,Bicyclist,Helmet Worn,12
2002,Central,Medically treated,0 to 16,Male,Motorcyclist,Helmet Worn,3
2002,Central,Medically treated,0 to 16,Male,Vehicle Occupant,Restrained,45
2002,Central,Medically treated,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Medically treated,0 to 16,Male,Vehicle Occupant,Unrestrained,4
2002,Central,Medically treated,17 to 24,Male,Bicyclist,Helmet Not Worn,2
2002,Central,Medically treated,17 to 24,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Medically treated,17 to 24,Male,Motorcyclist,Helmet Use Not determined,2
2002,Central,Medically treated,17 to 24,Male,Motorcyclist,Helmet Worn,23
2002,Central,Medically treated,17 to 24,Male,Vehicle Occupant,Restrained,129
2002,Central,Medically treated,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,22
2002,Central,Medically treated,17 to 24,Male,Vehicle Occupant,Unrestrained,15
2002,Central,Medically treated,25 to 29,Male,Bicyclist,Helmet Worn,3
2002,Central,Medically treated,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
2002,Central,Medically treated,25 to 29,Male,Motorcyclist,Helmet Worn,17
2002,Central,Medically treated,25 to 29,Male,Vehicle Occupant,Restrained,40
2002,Central,Medically treated,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,12
2002,Central,Medically treated,25 to 29,Male,Vehicle Occupant,Unrestrained,8
2002,Central,Medically treated,30 to 39,Male,Bicyclist,Helmet Worn,5
2002,Central,Medically treated,30 to 39,Male,Motorcyclist,Helmet Use Not determined,1
2002,Central,Medically treated,30 to 39,Male,Motorcyclist,Helmet Worn,18
2002,Central,Medically treated,30 to 39,Male,Vehicle Occupant,Restrained,73
2002,Central,Medically treated,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,12
2002,Central,Medically treated,30 to 39,Male,Vehicle Occupant,Unrestrained,3
2002,Central,Medically treated,40 to 49,Male,Bicyclist,Helmet Use Not determined,3
2002,Central,Medically treated,40 to 49,Male,Bicyclist,Helmet Worn,4
2002,Central,Medically treated,40 to 49,Male,Motorcyclist,Helmet Worn,21
2002,Central,Medically treated,40 to 49,Male,Vehicle Occupant,Not applicable,2
2002,Central,Medically treated,40 to 49,Male,Vehicle Occupant,Restrained,47
2002,Central,Medically treated,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,7
2002,Central,Medically treated,40 to 49,Male,Vehicle Occupant,Unrestrained,2
2002,Central,Medically treated,50 to 59,Male,Bicyclist,Helmet Use Not determined,2
2002,Central,Medically treated,50 to 59,Male,Bicyclist,Helmet Worn,4
2002,Central,Medically treated,50 to 59,Male,Motorcyclist,Helmet Worn,12
2002,Central,Medically treated,50 to 59,Male,Vehicle Occupant,Restrained,47
2002,Central,Medically treated,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Medically treated,50 to 59,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Medically treated,60 to 74,Male,Bicyclist,Helmet Worn,3
2002,Central,Medically treated,60 to 74,Male,Motorcyclist,Helmet Worn,1
2002,Central,Medically treated,60 to 74,Male,Vehicle Occupant,Not applicable,1
2002,Central,Medically treated,60 to 74,Male,Vehicle Occupant,Restrained,47
2002,Central,Medically treated,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Medically treated,75 and over,Male,Bicyclist,Helmet Worn,1
2002,Central,Medically treated,75 and over,Male,Vehicle Occupant,Restrained,20
2002,Central,Medically treated,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Medically treated,75 and over,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Medically treated,Unknown,Male,Vehicle Occupant,Restrained,2
2002,Central,Medically treated,Unknown,Unknown,Vehicle Occupant,Restrained,1
2002,Central,Medically treated,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Minor injury,0 to 16,Female,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,0 to 16,Female,Bicyclist,Helmet Worn,2
2002,Central,Minor injury,0 to 16,Female,Vehicle Occupant,Restrained,34
2002,Central,Minor injury,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,9
2002,Central,Minor injury,0 to 16,Female,Vehicle Occupant,Unrestrained,2
2002,Central,Minor injury,17 to 24,Female,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,17 to 24,Female,Bicyclist,Helmet Worn,1
2002,Central,Minor injury,17 to 24,Female,Motorcyclist,Helmet Worn,3
2002,Central,Minor injury,17 to 24,Female,Vehicle Occupant,Restrained,80
2002,Central,Minor injury,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,7
2002,Central,Minor injury,25 to 29,Female,Bicyclist,Helmet Worn,2
2002,Central,Minor injury,25 to 29,Female,Motorcyclist,Helmet Use Not determined,1
2002,Central,Minor injury,25 to 29,Female,Vehicle Occupant,Restrained,23
2002,Central,Minor injury,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Minor injury,30 to 39,Female,Bicyclist,Helmet Worn,1
2002,Central,Minor injury,30 to 39,Female,Motorcyclist,Helmet Worn,2
2002,Central,Minor injury,30 to 39,Female,Vehicle Occupant,Restrained,52
2002,Central,Minor injury,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,9
2002,Central,Minor injury,30 to 39,Female,Vehicle Occupant,Unrestrained,1
2002,Central,Minor injury,40 to 49,Female,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,40 to 49,Female,Motorcyclist,Helmet Worn,3
2002,Central,Minor injury,40 to 49,Female,Vehicle Occupant,Restrained,48
2002,Central,Minor injury,40 to 49,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Minor injury,50 to 59,Female,Motorcyclist,Helmet Worn,1
2002,Central,Minor injury,50 to 59,Female,Vehicle Occupant,Restrained,42
2002,Central,Minor injury,50 to 59,Female,Vehicle Occupant,Restraint Use Not determined,6
2002,Central,Minor injury,50 to 59,Female,Vehicle Occupant,Unrestrained,1
2002,Central,Minor injury,60 to 74,Female,Vehicle Occupant,Restrained,20
2002,Central,Minor injury,60 to 74,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Minor injury,75 and over,Female,Vehicle Occupant,Restrained,7
2002,Central,Minor injury,75 and over,Female,Vehicle Occupant,Restraint Use Not determined,4
2002,Central,Minor injury,Unknown,Female,Motorcyclist,Helmet Use Not determined,1
2002,Central,Minor injury,Unknown,Female,Vehicle Occupant,Restrained,2
2002,Central,Minor injury,Unknown,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Minor injury,0 to 16,Male,Bicyclist,Helmet Not Worn,5
2002,Central,Minor injury,0 to 16,Male,Bicyclist,Helmet Use Not determined,3
2002,Central,Minor injury,0 to 16,Male,Bicyclist,Helmet Worn,18
2002,Central,Minor injury,0 to 16,Male,Motorcyclist,Helmet Use Not determined,2
2002,Central,Minor injury,0 to 16,Male,Motorcyclist,Helmet Worn,2
2002,Central,Minor injury,0 to 16,Male,Vehicle Occupant,Restrained,34
2002,Central,Minor injury,0 to 16,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Minor injury,0 to 16,Male,Vehicle Occupant,Unrestrained,4
2002,Central,Minor injury,17 to 24,Male,Bicyclist,Helmet Not Worn,1
2002,Central,Minor injury,17 to 24,Male,Bicyclist,Helmet Use Not determined,3
2002,Central,Minor injury,17 to 24,Male,Bicyclist,Helmet Worn,4
2002,Central,Minor injury,17 to 24,Male,Motorcyclist,Helmet Not Worn,1
2002,Central,Minor injury,17 to 24,Male,Motorcyclist,Helmet Use Not determined,3
2002,Central,Minor injury,17 to 24,Male,Motorcyclist,Helmet Worn,5
2002,Central,Minor injury,17 to 24,Male,Vehicle Occupant,Restrained,75
2002,Central,Minor injury,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,20
2002,Central,Minor injury,17 to 24,Male,Vehicle Occupant,Unrestrained,4
2002,Central,Minor injury,25 to 29,Male,Bicyclist,Helmet Not Worn,1
2002,Central,Minor injury,25 to 29,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,25 to 29,Male,Bicyclist,Helmet Worn,3
2002,Central,Minor injury,25 to 29,Male,Motorcyclist,Helmet Use Not determined,1
2002,Central,Minor injury,25 to 29,Male,Motorcyclist,Helmet Worn,6
2002,Central,Minor injury,25 to 29,Male,Vehicle Occupant,Restrained,34
2002,Central,Minor injury,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,5
2002,Central,Minor injury,25 to 29,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Minor injury,30 to 39,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,30 to 39,Male,Bicyclist,Helmet Worn,4
2002,Central,Minor injury,30 to 39,Male,Motorcyclist,Helmet Use Not determined,5
2002,Central,Minor injury,30 to 39,Male,Motorcyclist,Helmet Worn,7
2002,Central,Minor injury,30 to 39,Male,Vehicle Occupant,Restrained,49
2002,Central,Minor injury,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,9
2002,Central,Minor injury,40 to 49,Male,Bicyclist,Helmet Worn,6
2002,Central,Minor injury,40 to 49,Male,Motorcyclist,Helmet Use Not determined,3
2002,Central,Minor injury,40 to 49,Male,Motorcyclist,Helmet Worn,7
2002,Central,Minor injury,40 to 49,Male,Vehicle Occupant,Not applicable,2
2002,Central,Minor injury,40 to 49,Male,Vehicle Occupant,Restrained,44
2002,Central,Minor injury,40 to 49,Male,Vehicle Occupant,Restraint Use Not determined,12
2002,Central,Minor injury,50 to 59,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,50 to 59,Male,Bicyclist,Helmet Worn,1
2002,Central,Minor injury,50 to 59,Male,Motorcyclist,Helmet Use Not determined,3
2002,Central,Minor injury,50 to 59,Male,Motorcyclist,Helmet Worn,2
2002,Central,Minor injury,50 to 59,Male,Vehicle Occupant,Restrained,26
2002,Central,Minor injury,50 to 59,Male,Vehicle Occupant,Restraint Use Not determined,7
2002,Central,Minor injury,50 to 59,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Minor injury,60 to 74,Male,Bicyclist,Helmet Use Not determined,1
2002,Central,Minor injury,60 to 74,Male,Motorcyclist,Helmet Worn,1
2002,Central,Minor injury,60 to 74,Male,Vehicle Occupant,Restrained,19
2002,Central,Minor injury,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Central,Minor injury,60 to 74,Male,Vehicle Occupant,Unrestrained,1
2002,Central,Minor injury,75 and over,Male,Bicyclist,Helmet Worn,1
2002,Central,Minor injury,75 and over,Male,Vehicle Occupant,Restrained,15
2002,Central,Minor injury,75 and over,Male,Vehicle Occupant,Restraint Use Not determined,2
2002,Central,Minor injury,Unknown,Male,Bicyclist,Helmet Use Not determined,2
2002,Central,Minor injury,Unknown,Male,Motorcyclist,Helmet Use Not determined,1
2002,Central,Minor injury,Unknown,Male,Vehicle Occupant,Restrained,1
2002,Central,Minor injury,Unknown,Male,Vehicle Occupant,Restraint Use Not determined,1
2002,Central,Minor injury,Unknown,Unknown,Motorcyclist,Helmet Use Not determined,1
2002,Central,Minor injury,Unknown,Unknown,Vehicle Occupant,Restraint Use Not determined,2
2002,Northern,Fatality,0 to 16,Female,Vehicle Occupant,Unrestrained,1
2002,Northern,Fatality,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,2
2002,Northern,Fatality,17 to 24,Female,Vehicle Occupant,Unrestrained,1
2002,Northern,Fatality,25 to 29,Female,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Northern,Fatality,30 to 39,Female,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,1
2002,Northern,Fatality,50 to 59,Female,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,50 to 59,Female,Vehicle Occupant,Unrestrained,1
2002,Northern,Fatality,60 to 74,Female,Motorcyclist,Helmet Worn,1
2002,Northern,Fatality,60 to 74,Female,Vehicle Occupant,Restrained,2
2002,Northern,Fatality,0 to 16,Male,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,17 to 24,Male,Motorcyclist,Helmet Worn,1
2002,Northern,Fatality,17 to 24,Male,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,17 to 24,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Northern,Fatality,17 to 24,Male,Vehicle Occupant,Unrestrained,3
2002,Northern,Fatality,25 to 29,Male,Vehicle Occupant,Not applicable,1
2002,Northern,Fatality,25 to 29,Male,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,25 to 29,Male,Vehicle Occupant,Restraint Use Not determined,2
2002,Northern,Fatality,30 to 39,Male,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,30 to 39,Male,Vehicle Occupant,Restraint Use Not determined,3
2002,Northern,Fatality,30 to 39,Male,Vehicle Occupant,Unrestrained,2
2002,Northern,Fatality,40 to 49,Male,Motorcyclist,Helmet Worn,1
2002,Northern,Fatality,50 to 59,Male,Vehicle Occupant,Not applicable,1
2002,Northern,Fatality,60 to 74,Male,Vehicle Occupant,Restrained,1
2002,Northern,Fatality,60 to 74,Male,Vehicle Occupant,Restraint Use Not determined,2
2002,Northern,Fatality,75 and over,Male,Vehicle Occupant,Restrained,1
2002,Northern,Hospitalised,0 to 16,Female,Bicyclist,Helmet Worn,1
2002,Northern,Hospitalised,0 to 16,Female,Vehicle Occupant,Restrained,12
2002,Northern,Hospitalised,0 to 16,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Northern,Hospitalised,0 to 16,Female,Vehicle Occupant,Unrestrained,7
2002,Northern,Hospitalised,17 to 24,Female,Bicyclist,Helmet Worn,1
2002,Northern,Hospitalised,17 to 24,Female,Motorcyclist,Helmet Worn,2
2002,Northern,Hospitalised,17 to 24,Female,Vehicle Occupant,Restrained,36
2002,Northern,Hospitalised,17 to 24,Female,Vehicle Occupant,Restraint Use Not determined,6
2002,Northern,Hospitalised,17 to 24,Female,Vehicle Occupant,Unrestrained,6
2002,Northern,Hospitalised,25 to 29,Female,Bicyclist,Helmet Use Not determined,1
2002,Northern,Hospitalised,25 to 29,Female,Bicyclist,Helmet Worn,1
2002,Northern,Hospitalised,25 to 29,Female,Vehicle Occupant,Restrained,20
2002,Northern,Hospitalised,25 to 29,Female,Vehicle Occupant,Restraint Use Not determined,3
2002,Northern,Hospitalised,30 to 39,Female,Bicyclist,Helmet Worn,1
2002,Northern,Hospitalised,30 to 39,Female,Motorcyclist,Helmet Worn,4
2002,Northern,Hospitalised,30 to 39,Female,Vehicle Occupant,Restrained,38
2002,Northern,Hospitalised,30 to 39,Female,Vehicle Occupant,Restraint Use Not determined,3
